doc,term,weight,scheme,setting
公众舆论,中国,1.0,count,all
生态文明,中国,1.0,count,all
食品安全,中国,2.0,count,all
外交关系,中方,2.0,count,all
排放背景,中方,1.0,count,all
食品安全,中方,1.0,count,all
外交关系,中日,1.0,count,all
外交关系,主张,1.0,count,all
信息公开,事态,1.0,count,all
食品安全,产品,1.0,count,all
生态文明,产生,2.0,count,all
食品安全,产生,2.0,count,all
外交关系,人民,1.0,count,all
生态文明,人类健康,2.0,count,all
食品安全,人类健康,2.0,count,all
生态文明,人身安全,1.0,count,all
责任义务,人身安全,1.0,count,all
食品安全,依法处理,1.0,count,all
信息公开,信息,3.0,count,all
外交关系,充分协商,2.0,count,all
信息公开,全面,1.0,count,all
外交关系,全面,1.0,count,all
公众舆论,公众健康,1.0,count,all
生态文明,公众健康,1.0,count,all
食品安全,公众健康,1.0,count,all
生态文明,公民,1.0,count,all
责任义务,公民,1.0,count,all
公众舆论,关系,1.0,count,all
排放背景,关系,1.0,count,all
生态文明,关系,1.0,count,all
外交关系,决策,2.0,count,all
责任义务,切实履行,1.0,count,all
公众舆论,危害,1.0,count,all
外交关系,危害,1.0,count,all
生态文明,危害,1.0,count,all
生态文明,发展,1.0,count,all
生态文明,合法权益,1.0,count,all
责任义务,合法权益,1.0,count,all
公众舆论,后续处理,1.0,count,all
排放背景,后续处理,1.0,count,all
排放背景,后续影响,2.0,count,all
成分信息,含氚废水,1.0,count,all
技术方案,含氚废水,1.0,count,all
排放背景,含氚废水,1.0,count,all
评估情况,含氚废水,1.0,count,all
公众舆论,周边,1.0,count,all
排放背景,周边,1.0,count,all
生态文明,周边,1.0,count,all
外交关系,周边国家,4.0,count,all
公众舆论,国内,1.0,count,all
排放背景,国内,1.0,count,all
外交关系,国内外,1.0,count,all
外交关系,国民,3.0,count,all
责任义务,国际义务,1.0,count,all
外交关系,国际公共利益,1.0,count,all
多边合作,国际原子能机构,1.0,count,all
评估情况,国际原子能机构,1.0,count,all
信息公开,国际社会,1.0,count,all
外交关系,国际社会,4.0,count,all
成分信息,土壤,1.0,count,all
食品安全,地区,1.0,count,all
外交关系,基础,3.0,count,all
生态文明,外国,1.0,count,all
责任义务,外国,1.0,count,all
公众舆论,安全,2.0,count,all
外交关系,安全,1.0,count,all
排放背景,安全,1.0,count,all
生态文明,安全,1.0,count,all
信息公开,对策,1.0,count,all
食品安全,市场,1.0,count,all
成分信息,影响,1.0,count,all
技术方案,影响,1.0,count,all
排放背景,影响,2.0,count,all
生态文明,影响,2.0,count,all
评估情况,影响,1.0,count,all
食品安全,影响,2.0,count,all
责任义务,态度,1.0,count,all
成分信息,总体,1.0,count,all
成分信息,手段,1.0,count,all
外交关系,措施,1.0,count,all
成分信息,放射性废弃物,1.0,count,all
成分信息,放射性物质,1.0,count,all
生态文明,政府,1.0,count,all
责任义务,政府,1.0,count,all
外交关系,政治,1.0,count,all
信息公开,数据,1.0,count,all
食品安全,数据,1.0,count,all
外交关系,文件,1.0,count,all
信息公开,方式,1.0,count,all
成分信息,方案,1.0,count,all
技术方案,方案,1.0,count,all
排放背景,方案,1.0,count,all
评估情况,方案,1.0,count,all
成分信息,方面,1.0,count,all
外交关系,日方,1.0,count,all
公众舆论,日本,1.0,count,all
外交关系,日本,1.0,count,all
成分信息,日本,1.0,count,all
排放背景,日本,2.0,count,all
生态文明,日本,1.0,count,all
信息公开,日本政府,1.0,count,all
外交关系,日本政府,3.0,count,all
成分信息,日本政府,1.0,count,all
排放背景,日本政府,2.0,count,all
责任义务,日本政府,1.0,count,all
食品安全,日本核污染,1.0,count,all
食品安全,晚会,1.0,count,all
食品安全,曝光,1.0,count,all
生态文明,有责任,1.0,count,all
责任义务,有责任,1.0,count,all
公众舆论,核污水,1.0,count,all
多边合作,核污水,1.0,count,all
排放背景,核污水,1.0,count,all
生态文明,核污水,1.0,count,all
评估情况,核污水,1.0,count,all
公众舆论,核泄漏,1.0,count,all
排放背景,核泄漏,3.0,count,all
食品安全,检疫,1.0,count,all
食品安全,检验,1.0,count,all
公众舆论,民众,1.0,count,all
排放背景,民众,1.0,count,all
公众舆论,民众健康,2.0,count,all
外交关系,民众健康,1.0,count,all
排放背景,民众健康,1.0,count,all
生态文明,民众健康,2.0,count,all
成分信息,污染水,1.0,count,all
外交关系,沟通交流,1.0,count,all
多边合作,沟通交流,1.0,count,all
公众舆论,海洋排放,1.0,count,all
排放背景,海洋排放,1.0,count,all
生态文明,海洋排放,1.0,count,all
公众舆论,海洋环境,2.0,count,all
外交关系,海洋环境,1.0,count,all
排放背景,海洋环境,1.0,count,all
生态文明,海洋环境,5.0,count,all
食品安全,海洋环境,2.0,count,all
多边合作,监测,1.0,count,all
评估情况,监测,1.0,count,all
公众舆论,福岛,1.0,count,all
多边合作,福岛,1.0,count,all
排放背景,福岛,3.0,count,all
评估情况,福岛,1.0,count,all
成分信息,福岛核事故,1.0,count,all
排放背景,福岛核泄漏事故,3.0,count,all
成分信息,福岛核电站,1.0,count,all
技术方案,福岛核电站,1.0,count,all
排放背景,福岛核电站,1.0,count,all
评估情况,福岛核电站,1.0,count,all
外交关系,立场,1.0,count,all
排放背景,讳莫如深,1.0,count,all
多边合作,评估,1.0,count,all
成分信息,评估,1.0,count,all
技术方案,评估,1.0,count,all
排放背景,评估,1.0,count,all
评估情况,评估,2.0,count,all
信息公开,说服力,1.0,count,all
食品安全,说服力,1.0,count,all
责任义务,负责任,1.0,count,all
外交关系,负责的态度,4.0,count,all
排放背景,过去,1.0,count,all
信息公开,通报,1.0,count,all
信息公开,通报情况,1.0,count,all
外交关系,通报情况,1.0,count,all
外交关系,邻国,1.0,count,all
食品安全,部门,1.0,count,all
外交关系,采取有效,1.0,count,all
公众舆论,问题,1.0,count,all
