doc,term,weight,scheme,setting
食品安全,中国,2.0,count,top5
信息公开,事态,1.0,count,top5
生态文明,产生,2.0,count,top5
食品安全,产生,2.0,count,top5
生态文明,人类健康,2.0,count,top5
食品安全,人类健康,2.0,count,top5
信息公开,信息,3.0,count,top5
责任义务,切实履行,1.0,count,top5
公众舆论,后续处理,1.0,count,top5
排放背景,后续影响,2.0,count,top5
技术方案,含氚废水,1.0,count,top5
评估情况,含氚废水,1.0,count,top5
外交关系,周边国家,4.0,count,top5
外交关系,国民,3.0,count,top5
责任义务,国际义务,1.0,count,top5
多边合作,国际原子能机构,1.0,count,top5
评估情况,国际原子能机构,1.0,count,top5
外交关系,国际社会,4.0,count,top5
成分信息,土壤,1.0,count,top5
公众舆论,安全,2.0,count,top5
信息公开,对策,1.0,count,top5
技术方案,影响,1.0,count,top5
责任义务,态度,1.0,count,top5
成分信息,总体,1.0,count,top5
成分信息,放射性废弃物,1.0,count,top5
责任义务,政府,1.0,count,top5
信息公开,方式,1.0,count,top5
技术方案,方案,1.0,count,top5
成分信息,方面,1.0,count,top5
公众舆论,核泄漏,1.0,count,top5
排放背景,核泄漏,3.0,count,top5
公众舆论,民众健康,2.0,count,top5
生态文明,民众健康,2.0,count,top5
成分信息,污染水,1.0,count,top5
多边合作,沟通交流,1.0,count,top5
公众舆论,海洋环境,2.0,count,top5
生态文明,海洋环境,5.0,count,top5
食品安全,海洋环境,2.0,count,top5
多边合作,监测,1.0,count,top5
评估情况,监测,1.0,count,top5
多边合作,福岛,1.0,count,top5
排放背景,福岛,3.0,count,top5
排放背景,福岛核泄漏事故,3.0,count,top5
技术方案,福岛核电站,1.0,count,top5
评估情况,福岛核电站,1.0,count,top5
技术方案,评估,1.0,count,top5
评估情况,评估,2.0,count,top5
责任义务,负责任,1.0,count,top5
外交关系,负责的态度,4.0,count,top5
信息公开,通报,1.0,count,top5
排放背景,问题,2.0,count,top5
多边合作,韩方,1.0,count,top5
生态文明,食品安全,3.0,count,top5
食品安全,食品安全,4.0,count,top5
外交关系,高度,4.0,count,top5
