label,term,n,term_weight
成分信息,总体,1,0.06942617901054834
成分信息,日本政府,1,0.022828178721480418
成分信息,污染水,1,0.06942617901054834
成分信息,土壤,1,0.06942617901054834
成分信息,放射性废弃物,1,0.06942617901054834
成分信息,方面,1,0.06942617901054834
成分信息,手段,1,0.06942617901054834
成分信息,评估,1,0.022828178721480418
成分信息,福岛核电站,1,0.02928884625535084
成分信息,含氚废水,1,0.02928884625535084
成分信息,方案,1,0.02928884625535084
成分信息,影响,1,0.017549428984972092
成分信息,日本,1,0.022828178721480418
成分信息,福岛核事故,1,0.06942617901054834
成分信息,放射性物质,1,0.06942617901054834
生态文明,海洋环境,5,0.051882224367000955
生态文明,食品安全,3,0.03993933580275115
生态文明,人类健康,2,0.044870466029954176
生态文明,产生,2,0.044870466029954176
生态文明,影响,2,0.01595402634997463
生态文明,中国,1,0.017099134255714018
生态文明,公众健康,1,0.017099134255714018
生态文明,海洋排放,1,0.017099134255714018
生态文明,核污水,1,0.010376444873400191
生态文明,周边,1,0.017099134255714018
生态文明,民众健康,2,0.026626223868500765
生态文明,隐患,1,0.017099134255714018
生态文明,危害,1,0.017099134255714018
生态文明,安全,1,0.013313111934250383
生态文明,政府,1,0.022435233014977088
生态文明,有责任,1,0.022435233014977088
生态文明,外国,1,0.022435233014977088
生态文明,公民,1,0.022435233014977088
生态文明,人身安全,1,0.022435233014977088
生态文明,合法权益,1,0.022435233014977088
生态文明,日本,1,0.010376444873400191
生态文明,发展,1,0.031557354095703795
生态文明,关系,1,0.017099134255714018
食品安全,晚会,1,0.03591009259166294
食品安全,曝光,1,0.03591009259166294
食品安全,日本核污染,1,0.03591009259166294
食品安全,地区,1,0.03591009259166294
食品安全,产品,1,0.03591009259166294
食品安全,中国,2,0.03891527106472845
食品安全,市场,1,0.03591009259166294
食品安全,中方,1,0.019457635532364227
食品安全,食品,1,0.03591009259166294
食品安全,检验,1,0.03591009259166294
食品安全,检疫,1,0.03591009259166294
食品安全,部门,1,0.03591009259166294
食品安全,依法处理,1,0.03591009259166294
食品安全,食品安全,4,0.06059761294210519
食品安全,公众健康,1,0.019457635532364227
食品安全,数据,1,0.025529747913594615
食品安全,说服力,1,0.025529747913594615
食品安全,海洋环境,2,0.02361535729808319
食品安全,人类健康,2,0.05105949582718923
食品安全,产生,2,0.05105949582718923
食品安全,影响,2,0.01815458170859182
评估情况,评估,2,0.06848453616444126
评估情况,福岛核电站,1,0.04393326938302627
评估情况,含氚废水,1,0.04393326938302627
评估情况,方案,1,0.04393326938302627
评估情况,影响,1,0.02632414347745814
评估情况,国际原子能机构,1,0.07403626894942439
评估情况,福岛,1,0.04393326938302627
评估情况,核污水,1,0.03424226808222063
评估情况,监测,1,0.07403626894942439
排放背景,福岛核泄漏事故,3,0.08221521198617567
排放背景,日本政府,2,0.018022246359063486
排放背景,后续影响,2,0.05481014132411711
排放背景,中方,1,0.014849248169435855
排放背景,高度关注,1,0.027405070662058554
排放背景,影响,2,0.013854812356556915
排放背景,评估,1,0.009011123179531743
排放背景,福岛核电站,1,0.011561386679743752
排放背景,含氚废水,1,0.011561386679743752
排放背景,方案,1,0.011561386679743752
排放背景,福岛,3,0.034684160039231256
排放背景,核泄漏,3,0.058449686012703464
排放背景,后续处理,1,0.019483228670901152
排放背景,问题,2,0.038966457341802305
排放背景,关系,1,0.014849248169435855
排放背景,日本,2,0.018022246359063486
排放背景,国内,1,0.019483228670901152
排放背景,民众,1,0.019483228670901152
排放背景,安全,1,0.011561386679743752
排放背景,海洋排放,1,0.014849248169435855
排放背景,核污水,1,0.009011123179531743
排放背景,周边,1,0.014849248169435855
排放背景,海洋环境,1,0.009011123179531743
排放背景,民众健康,1,0.011561386679743752
排放背景,隐患,1,0.014849248169435855
排放背景,过去,1,0.027405070662058554
排放背景,讳莫如深,1,0.027405070662058554
外交关系,日本政府,3,0.019755154662819595
外交关系,国民,3,0.06008034722066684
外交关系,周边国家,4,0.08010712962755578
外交关系,国际社会,4,0.05695097611494184
外交关系,高度,4,0.08010712962755578
外交关系,负责的态度,4,0.08010712962755578
外交关系,充分协商,2,0.04005356481377789
外交关系,基础,3,0.06008034722066684
外交关系,决策,2,0.04005356481377789
外交关系,韩方,1,0.01423774402873546
外交关系,沟通交流,1,0.01423774402873546
外交关系,全面,1,0.01423774402873546
外交关系,通报情况,1,0.01423774402873546
外交关系,日方,1,0.020026782406888946
外交关系,邻国,1,0.020026782406888946
外交关系,人民,1,0.020026782406888946
外交关系,采取有效,1,0.020026782406888946
外交关系,措施,1,0.020026782406888946
外交关系,危害,1,0.01085137366228005
外交关系,海洋环境,1,0.006585051554273198
外交关系,安全,1,0.008448705650581975
外交关系,民众健康,1,0.008448705650581975
外交关系,国际公共利益,1,0.020026782406888946
外交关系,日本,1,0.006585051554273198
外交关系,国内外,1,0.020026782406888946
外交关系,中方,2,0.0217027473245601
外交关系,主张,1,0.020026782406888946
外交关系,中日,1,0.020026782406888946
外交关系,政治,1,0.020026782406888946
外交关系,文件,1,0.020026782406888946
外交关系,立场,1,0.020026782406888946
信息公开,方式,1,0.07438519179701608
信息公开,信息,3,0.22315557539104824
信息公开,全面,1,0.052883049249588844
信息公开,国际社会,1,0.052883049249588844
信息公开,通报情况,1,0.052883049249588844
信息公开,日本政府,1,0.024458762915871877
信息公开,事态,1,0.07438519179701608
信息公开,对策,1,0.07438519179701608
信息公开,食品安全,1,0.031380906702161614
信息公开,数据,1,0.052883049249588844
信息公开,说服力,1,0.052883049249588844
信息公开,通报,1,0.07438519179701608
技术方案,评估,1,0.06848453616444126
